"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","580","test_login_failed[space_username-Username and password do not match]","tests","2026-06-30","passed","2026-06-30","TestLogin","test_login","",""
"","411","test_login_success[problem]","tests","2026-06-30","passed","2026-06-30","TestLogin","test_login","",""
"","618","test_login_failed[space_both-Username and password do not match]","tests","2026-06-30","passed","2026-06-30","TestLogin","test_login","",""
"","485","test_login_failed[wrong_username-Username and password do not match]","tests","2026-06-30","passed","2026-06-30","TestLogin","test_login","",""
"","416","test_login_failed[space_password-Username and password do not match]","tests","2026-06-30","passed","2026-06-30","TestLogin","test_login","",""
"","448","test_login_failed[locked_out-Sorry, this user has been locked out.]","tests","2026-06-30","passed","2026-06-30","TestLogin","test_login","",""
"","442","test_login_success[visual]","tests","2026-06-30","passed","2026-06-30","TestLogin","test_login","",""
"","698","test_login_success[error]","tests","2026-06-30","passed","2026-06-30","TestLogin","test_login","",""
"","471","test_login_failed[empty_username-Username is required]","tests","2026-06-30","passed","2026-06-30","TestLogin","test_login","",""
"","575","test_login_success[standard]","tests","2026-06-30","passed","2026-06-30","TestLogin","test_login","",""
"","410","test_login_failed[wrong_password-Username and password do not match]","tests","2026-06-30","passed","2026-06-30","TestLogin","test_login","",""
"","429","test_login_failed[empty_password-Password is required]","tests","2026-06-30","passed","2026-06-30","TestLogin","test_login","",""
"","5484","test_login_success[performance]","tests","2026-06-30","passed","2026-06-30","TestLogin","test_login","",""
"","378","test_login_failed[empty_both-Username is required]","tests","2026-06-30","passed","2026-06-30","TestLogin","test_login","",""
