"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1151","test_step_two_cancel","tests","2026-06-30","passed","2026-06-30","TestCheckout","test_checkout","",""
"","485","test_step_one_missing_fields[John-Doe--Postal Code is required]","tests","2026-06-30","passed","2026-06-30","TestCheckout","test_checkout","",""
"","235","test_step_one_cancel","tests","2026-06-30","passed","2026-06-30","TestCheckout","test_checkout","",""
"","2782","test_complete_order","tests","2026-06-30","passed","2026-06-30","TestCheckout","test_checkout","",""
"","448","test_step_one_missing_fields[John--12345-Last Name is required]","tests","2026-06-30","passed","2026-06-30","TestCheckout","test_checkout","",""
"","551","test_step_one_missing_fields[-Doe-12345-First Name is required]","tests","2026-06-30","passed","2026-06-30","TestCheckout","test_checkout","",""
"","924","test_step_two_item_info","tests","2026-06-30","passed","2026-06-30","TestCheckout","test_checkout","",""
"","526","test_step_one_missing_fields[---First Name is required]","tests","2026-06-30","passed","2026-06-30","TestCheckout","test_checkout","",""
"","730","test_step_two_total_correct","tests","2026-06-30","passed","2026-06-30","TestCheckout","test_checkout","",""
"","344","test_step_one_displayed","tests","2026-06-30","passed","2026-06-30","TestCheckout","test_checkout","",""
"","429","test_step_two_displayed","tests","2026-06-30","passed","2026-06-30","TestCheckout","test_checkout","",""
