"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Cart","2","0","Add to cart trả về lỗi - Error User","0"
"0","","0","Cart","2","0","Add to cart bị bug - Problem User","0"
"1","","0","Cart","0","0","Truy cập inventory khi chưa login","0"
"0","","0","Cart","4","0","Thêm 1 sản phẩm - Standard User","0"
"0","","0","Cart","2","0","Xóa sản phẩm khỏi giỏ - Standard User","0"
"0","","0","Cart","1","0","Thêm tất cả sản phẩm - Standard User","0"
"0","","0","Cart","1","0","Giỏ hàng giữ nguyên sau refresh - Standard User","0"
"0","","0","Cart","2","0","Thêm nhiều sản phẩm - Standard User","0"
"0","","0","Cart","1","0","Đo thời gian add to cart - Performance User","0"
