"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","436","test_product_info_displayed[onesie]","tests","2026-06-30","passed","2026-06-30","TestProductDetail","test_product_detail","",""
"","125","test_product_info_displayed[bike_light]","tests","2026-06-30","passed","2026-06-30","TestProductDetail","test_product_detail","",""
"","188","test_back_to_products","tests","2026-06-30","passed","2026-06-30","TestProductDetail","test_product_detail","",""
"","206","test_back_after_add_cart_persists","tests","2026-06-30","passed","2026-06-30","TestProductDetail","test_product_detail","",""
"","162","test_add_to_cart_from_detail[bike_light]","tests","2026-06-30","passed","2026-06-30","TestProductDetail","test_product_detail","",""
"","433","test_add_from_detail_verify_in_cart","tests","2026-06-30","passed","2026-06-30","TestProductDetail","test_product_detail","",""
"","184","test_product_info_displayed[bolt_tshirt]","tests","2026-06-30","passed","2026-06-30","TestProductDetail","test_product_detail","",""
"","473","test_add_to_cart_from_detail[onesie]","tests","2026-06-30","passed","2026-06-30","TestProductDetail","test_product_detail","",""
"","31461","test_remove_from_detail","tests","2026-06-30","broken","2026-06-30","TestProductDetail","test_product_detail","",""
