"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","569","Login với nhiều bộ dữ liệu","tests","2026-06-20","passed","2026-06-20","","test_login","",""
"","391","Login với nhiều bộ dữ liệu","tests","2026-06-20","passed","2026-06-20","","test_login","",""
"","250","Login với nhiều bộ dữ liệu","tests","2026-06-20","passed","2026-06-20","","test_login","",""
"","5317","Login với nhiều bộ dữ liệu","tests","2026-06-20","passed","2026-06-20","","test_login","",""
"","298","Login với nhiều bộ dữ liệu","tests","2026-06-20","passed","2026-06-20","","test_login","",""
"","403","Login với nhiều bộ dữ liệu","tests","2026-06-20","passed","2026-06-20","","test_login","",""
