"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","448","Login không thành công","tests","2026-06-20","passed","2026-06-20","","test_login","",""
"","431","Login không thành công","tests","2026-06-20","passed","2026-06-20","","test_login","",""
"","483","Login không thành công","tests","2026-06-20","passed","2026-06-20","","test_login","",""
"","389","Login không thành công","tests","2026-06-20","passed","2026-06-20","","test_login","",""
"","430","Login không thành công","tests","2026-06-20","passed","2026-06-20","","test_login","",""
"","411","Login không thành công","tests","2026-06-20","passed","2026-06-20","","test_login","",""
"","489","Login không thành công","tests","2026-06-20","passed","2026-06-20","","test_login","",""
"","457","Login không thành công","tests","2026-06-20","passed","2026-06-20","","test_login","",""
"","375","Login không thành công","tests","2026-06-20","passed","2026-06-20","","test_login","",""
