"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5572","Login thành công","tests","2026-06-20","passed","2026-06-20","","test_login","",""
"","631","Login thành công","tests","2026-06-20","passed","2026-06-20","","test_login","",""
"","508","Login thành công","tests","2026-06-20","passed","2026-06-20","","test_login","",""
"","462","Login thành công","tests","2026-06-20","passed","2026-06-20","","test_login","",""
"","646","Login thành công","tests","2026-06-20","passed","2026-06-20","","test_login","",""
