"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","52","test_sort_a_to_z","tests","2026-06-23","broken","2026-06-23","TestInventory","test_inventory","",""
"","241","test_sort_price_low_to_high","tests","2026-06-23","broken","2026-06-23","TestInventory","test_inventory","",""
"","249","test_sort_price_high_to_low","tests","2026-06-23","broken","2026-06-23","TestInventory","test_inventory","",""
"","250","test_sort_z_to_a","tests","2026-06-23","broken","2026-06-23","TestInventory","test_inventory","",""
