"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","869","test_add_multiple_items_to_cart","tests","2026-06-20","passed","2026-06-20","","test_add_to_card","",""
"","533","test_hover_over_element","tests","2026-06-20","passed","2026-06-20","","test_hover","",""
"","669","test_add_item_without_login","tests","2026-06-20","passed","2026-06-20","","test_add_to_card","",""
"","852","Login với nhiều bộ dữ liệu","tests","2026-06-20","passed","2026-06-20","","test_login","",""
"","5816","Login với nhiều bộ dữ liệu","tests","2026-06-20","passed","2026-06-20","","test_login","",""
"","654","Login với nhiều bộ dữ liệu","tests","2026-06-20","passed","2026-06-20","","test_login","",""
"","834","test_remove_item_from_cart","tests","2026-06-20","passed","2026-06-20","","test_add_to_card","",""
"","670","Login với nhiều bộ dữ liệu","tests","2026-06-20","passed","2026-06-20","","test_login","",""
"","987","test_cart_remains_after_refresh","tests","2026-06-20","passed","2026-06-20","","test_add_to_card","",""
"","482","Login với nhiều bộ dữ liệu","tests","2026-06-20","passed","2026-06-20","","test_login","",""
"","52","test_scroll_to_element","tests","2026-06-20","passed","2026-06-20","","test_scroll","",""
"","1477","test_add_all_items_to_cart","tests","2026-06-20","passed","2026-06-20","","test_add_to_card","",""
"","519","Login với nhiều bộ dữ liệu","tests","2026-06-20","passed","2026-06-20","","test_login","",""
"","291","test_add_single_item_to_cart","tests","2026-06-20","passed","2026-06-20","","test_add_to_card","",""
